;Zenon;;Eprover;;Vampire;;
tptp-problems/euclid-nativeq/225_proposition_29.p ;362; Error  ;304; Error  ;60; Error  ; No : 219
tptp-problems/euclid-nativeq/243_proposition_44A.p ;339; Error  ;304; Error  ;60; Error  ; No : 220
tptp-problems/euclid-nativeq/264_lemma_parallelcollinear1.p ;49; Error  ;355; Error  ;60; Error  ; No : 221
tptp-problems/euclid-nativeq/268_proposition_23B.p ;42; Error  ;313; Error  ;60; Error  ; No : 222
tptp-problems/euclid-nativeq/282_proposition_07.p ;22; Error  ;302; Error  ;60; Error  ; No : 223
tptp-problems/euclid-nativeq/283_proposition_30.p ;308; Error  ;307; Error  ;60; Error  ; No : 224
tptp-problems/euclid-nativeq/299_lemma_paste5.p ;207; Error  ;309; Error  ;61; Error  ; No : 225
tptp-problems/euclid-nativeq/314_proposition_42.p ;456; Error  ;315; Error  ;60; Error  ; No : 226
tptp-problems/euclid-nativeq/321_proposition_24.p ;300; Error  ;310; Error  ;60; Error  ; No : 227
tptp-problems/euclid-nativeq/324_proposition_35A.p ;313; Error  ;302; Error  ;60; Error  ; No : 228
tptp-problems/euclid-nativeq/352_proposition_16.p ;142; Error  ;314; Error  ;61; Error  ; No : 229
tptp-problems/euclid-nativeq/379_proposition_27.p ;77; Error  ;300; Error  ;60; Error  ; No : 230
tptp-problems/euclid-nativeq/461_proposition_35.p ;134; Error  ;315; Error  ;60; Error  ; No : 231
tptp-problems/euclid-nativeq/551_lemma_angletrichotomy2.p ;219; Error  ;339; Error  ;60; Error  ; No : 232
tptp-problems/euclid-nativeq/lemma_4_19.p ;44; Error  ;0; Ok;0; Ok; No: 233
tptp-problems/euclid-nativeq/lemma_rightreflection.p ;268; Error  ;301; Error  ;60; Error; No: 234
