tptp-problems/euclid-native-eq/030_lemma_ray4_3.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 1; Proved; 
tptp-problems/euclid-native-eq/030_lemma_ray.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 136; Failed; 
tptp-problems/euclid-native-eq/030_lemma_trichotomy1.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 136; Failed; 
tptp-problems/euclid-native-eq/031_proposition_23C.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 136; Failed; 
tptp-problems/euclid-native-eq/032_lemma_8_3.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 136; Failed; 
tptp-problems/euclid-native-eq/032_lemma_ray3.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 127; Failed; 
tptp-problems/euclid-native-eq/033_lemma_collinear1.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 0; Failed; 
tptp-problems/euclid-native-eq/033_proposition_28A.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 136; Failed; 
tptp-problems/euclid-native-eq/034_lemma_extension.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 136; Failed; 
tptp-problems/euclid-native-eq/034_lemma_NCorder.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 4; Proved; 
tptp-problems/euclid-native-eq/034_lemma_Playfair.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 100; Failed; 
tptp-problems/euclid-native-eq/035_lemma_collinear2.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 0; Failed; 
tptp-problems/euclid-native-eq/035_lemma_EFreflexive.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 120; Failed; 
tptp-problems/euclid-native-eq/035_proposition_28B.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 136; Failed; 
tptp-problems/euclid-native-eq/035_proposition_43.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 136; Failed; 
tptp-problems/euclid-native-eq/036_lemma_8_7.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 118; Failed; 
tptp-problems/euclid-native-eq/038_lemma_ondiameter.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 101; Failed; 
tptp-problems/euclid-native-eq/038_proposition_25.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 100; Failed; 
tptp-problems/euclid-native-eq/039_lemma_ABCequalsCBA.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 136; Failed; 
